orientation,spatial_frequency,phase,temporal_frequency
120.0,0.03999999910593033,0.5,0.0
30.0,0.019999999552965164,0.5,0.0
60.0,0.03999999910593033,0.5,0.0
90.0,0.03999999910593033,0.5,0.0
60.0,0.03999999910593033,0.75,0.0
60.0,0.019999999552965164,0.5,0.0
0.0,0.07999999821186066,0.75,0.0
30.0,0.03999999910593033,0.75,0.0
120.0,0.1599999964237213,0.75,0.0
0.0,0.1599999964237213,0.5,0.0
30.0,0.3199999928474426,0.0,0.0
150.0,0.03999999910593033,0.5,0.0
150.0,0.1599999964237213,0.5,0.0
120.0,0.3199999928474426,0.75,0.0
60.0,0.3199999928474426,0.5,0.0
90.0,0.07999999821186066,0.75,0.0
120.0,0.3199999928474426,0.5,0.0
120.0,0.3199999928474426,0.25,0.0
60.0,0.1599999964237213,0.25,0.0
60.0,0.03999999910593033,0.0,0.0
60.0,0.03999999910593033,0.25,0.0
150.0,0.07999999821186066,0.25,0.0
150.0,0.1599999964237213,0.25,0.0
150.0,0.03999999910593033,0.0,0.0
90.0,0.3199999928474426,0.5,0.0
60.0,0.1599999964237213,0.5,0.0
150.0,0.03999999910593033,0.75,0.0
30.0,0.019999999552965164,0.25,0.0
0.0,0.019999999552965164,0.5,0.0
0.0,0.3199999928474426,0.25,0.0
30.0,0.019999999552965164,0.75,0.0
150.0,0.3199999928474426,0.75,0.0
90.0,0.07999999821186066,0.0,0.0
30.0,0.1599999964237213,0.5,0.0
150.0,0.019999999552965164,0.5,0.0
120.0,0.07999999821186066,0.75,0.0
30.0,0.07999999821186066,0.0,0.0
150.0,0.3199999928474426,0.25,0.0
90.0,0.1599999964237213,0.5,0.0
150.0,0.07999999821186066,0.0,0.0
90.0,0.03999999910593033,0.25,0.0
0.0,0.3199999928474426,0.0,0.0
120.0,0.07999999821186066,0.25,0.0
60.0,0.07999999821186066,0.5,0.0
30.0,0.3199999928474426,0.75,0.0
0.0,0.019999999552965164,0.75,0.0
150.0,0.019999999552965164,0.25,0.0
90.0,0.3199999928474426,0.25,0.0
150.0,0.019999999552965164,0.75,0.0
60.0,0.1599999964237213,0.0,0.0
90.0,0.019999999552965164,0.0,0.0
60.0,0.019999999552965164,0.75,0.0
90.0,0.03999999910593033,0.0,0.0
30.0,0.03999999910593033,0.0,0.0
0.0,0.1599999964237213,0.25,0.0
90.0,0.1599999964237213,0.25,0.0
90.0,0.1599999964237213,0.0,0.0
30.0,0.07999999821186066,0.75,0.0
60.0,0.07999999821186066,0.75,0.0
30.0,0.03999999910593033,0.5,0.0
30.0,0.3199999928474426,0.25,0.0
150.0,0.019999999552965164,0.0,0.0
120.0,0.07999999821186066,0.0,0.0
90.0,0.3199999928474426,0.75,0.0
0.0,0.07999999821186066,0.0,0.0
0.0,0.1599999964237213,0.75,0.0
90.0,0.019999999552965164,0.25,0.0
30.0,0.019999999552965164,0.0,0.0
90.0,0.019999999552965164,0.5,0.0
30.0,0.03999999910593033,0.25,0.0
120.0,0.019999999552965164,0.75,0.0
60.0,0.1599999964237213,0.75,0.0
150.0,0.1599999964237213,0.0,0.0
120.0,0.019999999552965164,0.0,0.0
90.0,0.07999999821186066,0.25,0.0
0.0,0.3199999928474426,0.5,0.0
60.0,0.3199999928474426,0.0,0.0
60.0,0.3199999928474426,0.75,0.0
120.0,0.019999999552965164,0.5,0.0
0.0,0.03999999910593033,0.0,0.0
0.0,0.07999999821186066,0.5,0.0
120.0,0.1599999964237213,0.5,0.0
150.0,0.3199999928474426,0.5,0.0
30.0,0.1599999964237213,0.75,0.0
120.0,0.03999999910593033,0.75,0.0
90.0,0.3199999928474426,0.0,0.0
120.0,0.03999999910593033,0.0,0.0
150.0,0.1599999964237213,0.75,0.0
120.0,0.1599999964237213,0.0,0.0
30.0,0.07999999821186066,0.25,0.0
60.0,0.3199999928474426,0.25,0.0
60.0,0.019999999552965164,0.0,0.0
0.0,0.1599999964237213,0.0,0.0
0.0,0.019999999552965164,0.0,0.0
150.0,0.07999999821186066,0.75,0.0
0.0,0.3199999928474426,0.75,0.0
120.0,0.3199999928474426,0.0,0.0
0.0,0.03999999910593033,0.75,0.0
0.0,0.019999999552965164,0.25,0.0
60.0,0.019999999552965164,0.25,0.0
30.0,0.3199999928474426,0.5,0.0
90.0,0.1599999964237213,0.75,0.0
120.0,0.1599999964237213,0.25,0.0
60.0,0.07999999821186066,0.0,0.0
120.0,0.07999999821186066,0.5,0.0
150.0,0.07999999821186066,0.5,0.0
0.0,0.07999999821186066,0.25,0.0
0.0,0.03999999910593033,0.5,0.0
120.0,0.019999999552965164,0.25,0.0
90.0,0.07999999821186066,0.5,0.0
0.0,0.03999999910593033,0.25,0.0
150.0,0.3199999928474426,0.0,0.0
30.0,0.07999999821186066,0.5,0.0
30.0,0.1599999964237213,0.0,0.0
30.0,0.1599999964237213,0.25,0.0
150.0,0.03999999910593033,0.25,0.0
90.0,0.03999999910593033,0.75,0.0
120.0,0.03999999910593033,0.25,0.0
60.0,0.07999999821186066,0.25,0.0
90.0,0.019999999552965164,0.75,0.0
45.0,0.04,0.0,15.0
0.0,0.0,0.0,0.0
135.0,0.04,0.0,8.0
225.0,0.04,0.0,8.0
45.0,0.04,0.0,2.0
270.0,0.04,0.0,2.0
45.0,0.04,0.0,8.0
90.0,0.04,0.0,1.0
180.0,0.04,0.0,8.0
135.0,0.04,0.0,1.0
135.0,0.04,0.0,4.0
270.0,0.04,0.0,15.0
45.0,0.04,0.0,4.0
315.0,0.04,0.0,2.0
225.0,0.04,0.0,2.0
0.0,0.04,0.0,8.0
90.0,0.04,0.0,15.0
180.0,0.04,0.0,2.0
315.0,0.04,0.0,15.0
315.0,0.04,0.0,4.0
270.0,0.04,0.0,8.0
315.0,0.04,0.0,1.0
0.0,0.04,0.0,1.0
90.0,0.04,0.0,2.0
225.0,0.04,0.0,15.0
180.0,0.04,0.0,4.0
180.0,0.04,0.0,1.0
225.0,0.04,0.0,4.0
0.0,0.04,0.0,4.0
0.0,0.04,0.0,15.0
270.0,0.04,0.0,1.0
45.0,0.04,0.0,1.0
225.0,0.04,0.0,1.0
135.0,0.04,0.0,2.0
180.0,0.04,0.0,15.0
270.0,0.04,0.0,4.0
0.0,0.04,0.0,2.0
90.0,0.04,0.0,4.0
135.0,0.04,0.0,15.0
90.0,0.04,0.0,8.0
315.0,0.04,0.0,8.0
